signal,length_mm,corner,z0_ohm,driver_ohm,series_ohm,load_pf,driver_rise_ns,maximum_v,minimum_v,overshoot_pct,threshold_75pct_ns,rise_10_90_ns,settle_10pct_ns
B_CS,69.31,nominal,60.0,30.0,0.0,8.0,1.5,3.9234,0.0,18.89,1.687,1.073,3.19
B_CS,69.31,high_z_fast,85.0,15.0,0.0,8.0,0.8,5.3648,0.0,62.57,1.254,0.675,8.379
B_CS,69.31,high_c_slow,70.0,45.0,0.0,15.0,3.0,3.4053,0.0,3.19,3.225,2.465,3.697
B_CS,69.31,low_z_fast,45.0,15.0,22.0,5.0,0.8,3.5319,0.0,7.03,1.185,0.688,1.317
B_CS,69.31,nominal,60.0,30.0,22.0,8.0,1.5,3.3425,0.0,1.29,1.924,1.394,2.236
B_CS,69.31,high_z_fast,85.0,15.0,22.0,8.0,0.8,4.2346,0.0,28.32,1.378,0.814,3.203
B_CS,69.31,high_c_slow,70.0,45.0,22.0,15.0,3.0,3.2966,0.0,0.0,3.651,3.222,4.538
B_CS,69.31,low_z_fast,45.0,15.0,33.0,5.0,0.8,3.2941,0.0,0.0,1.265,0.896,1.54
B_CS,69.31,nominal,60.0,30.0,33.0,8.0,1.5,3.2957,0.0,0.0,2.059,1.713,2.577
B_CS,69.31,high_z_fast,85.0,15.0,33.0,8.0,0.8,3.8491,0.0,16.64,1.449,0.91,3.08
B_CS,69.31,high_c_slow,70.0,45.0,33.0,15.0,3.0,3.296,0.0,0.0,3.898,3.738,5.098
B_CS,69.31,low_z_fast,45.0,15.0,47.0,5.0,0.8,3.2924,0.0,0.0,1.446,1.583,2.249
B_CS,69.31,nominal,60.0,30.0,47.0,8.0,1.5,3.2947,0.0,0.0,2.287,2.28,3.172
B_CS,69.31,high_z_fast,85.0,15.0,47.0,8.0,0.8,3.489,0.0,5.73,1.556,1.081,1.833
B_CS,69.31,high_c_slow,70.0,45.0,47.0,15.0,3.0,3.2951,0.0,0.0,4.267,4.399,5.811
B_MISO,32.03,low_z_fast,45.0,15.0,0.0,5.0,0.8,4.2161,0.0,27.76,0.787,0.501,2.141
B_MISO,32.03,nominal,60.0,30.0,0.0,8.0,1.5,3.5406,0.0,7.29,1.467,1.111,1.676
B_MISO,32.03,high_z_fast,85.0,15.0,0.0,8.0,0.8,4.8352,0.0,46.52,0.967,0.589,4.366
B_MISO,32.03,high_c_slow,70.0,45.0,0.0,15.0,3.0,3.3006,0.0,0.02,3.054,2.595,3.581
B_MISO,32.03,low_z_fast,45.0,15.0,22.0,5.0,0.8,3.3752,0.0,2.28,0.956,0.689,1.092
B_MISO,32.03,nominal,60.0,30.0,22.0,8.0,1.5,3.2964,0.0,0.0,1.708,1.431,2.046
B_MISO,32.03,high_z_fast,85.0,15.0,22.0,8.0,0.8,3.802,0.0,15.21,1.097,0.745,2.168
B_MISO,32.03,high_c_slow,70.0,45.0,22.0,15.0,3.0,3.2966,0.0,0.0,3.432,3.253,4.341
B_MISO,32.03,low_z_fast,45.0,15.0,33.0,5.0,0.8,3.2941,0.0,0.0,1.04,0.872,1.292
B_MISO,32.03,nominal,60.0,30.0,33.0,8.0,1.5,3.2957,0.0,0.0,1.827,1.68,2.317
B_MISO,32.03,high_z_fast,85.0,15.0,33.0,8.0,0.8,3.5033,0.0,6.16,1.178,0.86,1.369
B_MISO,32.03,high_c_slow,70.0,45.0,33.0,15.0,3.0,3.2961,0.0,0.0,3.651,3.638,4.778
B_MISO,32.03,low_z_fast,45.0,15.0,47.0,5.0,0.8,3.2924,0.0,0.0,1.183,1.205,1.644
B_MISO,32.03,nominal,60.0,30.0,47.0,8.0,1.5,3.2947,0.0,0.0,2.009,2.027,2.695
B_MISO,32.03,high_z_fast,85.0,15.0,47.0,8.0,0.8,3.3084,0.0,0.25,1.302,1.084,1.61
B_MISO,32.03,high_c_slow,70.0,45.0,47.0,15.0,3.0,3.2953,0.0,0.0,3.956,4.139,5.342
B_MOSI,30.61,low_z_fast,45.0,15.0,0.0,5.0,0.8,4.1746,0.0,26.5,0.777,0.501,2.079
B_MOSI,30.61,nominal,60.0,30.0,0.0,8.0,1.5,3.5241,0.0,6.79,1.461,1.116,1.674
B_MOSI,30.61,high_z_fast,85.0,15.0,0.0,8.0,0.8,4.7997,0.0,45.44,0.955,0.584,4.253
B_MOSI,30.61,high_c_slow,70.0,45.0,0.0,15.0,3.0,3.2993,0.0,0.0,3.048,2.601,3.577
B_MOSI,30.61,low_z_fast,45.0,15.0,22.0,5.0,0.8,3.3671,0.0,2.03,0.948,0.69,1.086
B_MOSI,30.61,nominal,60.0,30.0,22.0,8.0,1.5,3.2964,0.0,0.0,1.7,1.433,2.039
B_MOSI,30.61,high_z_fast,85.0,15.0,22.0,8.0,0.8,3.7773,0.0,14.46,1.086,0.742,2.114
B_MOSI,30.61,high_c_slow,70.0,45.0,22.0,15.0,3.0,3.2966,0.0,0.0,3.423,3.254,4.334
B_MOSI,30.61,low_z_fast,45.0,15.0,33.0,5.0,0.8,3.2941,0.0,0.0,1.031,0.871,1.281
B_MOSI,30.61,nominal,60.0,30.0,33.0,8.0,1.5,3.2957,0.0,0.0,1.818,1.678,2.307
B_MOSI,30.61,high_z_fast,85.0,15.0,33.0,8.0,0.8,3.4854,0.0,5.62,1.167,0.859,1.359
B_MOSI,30.61,high_c_slow,70.0,45.0,33.0,15.0,3.0,3.2961,0.0,0.0,3.641,3.635,4.765
B_MOSI,30.61,low_z_fast,45.0,15.0,47.0,5.0,0.8,3.2924,0.0,0.0,1.172,1.192,1.623
B_MOSI,30.61,nominal,60.0,30.0,47.0,8.0,1.5,3.2947,0.0,0.0,1.998,2.019,2.678
B_MOSI,30.61,high_z_fast,85.0,15.0,47.0,8.0,0.8,3.3045,0.0,0.14,1.293,1.088,1.606
B_MOSI,30.61,high_c_slow,70.0,45.0,47.0,15.0,3.0,3.2953,0.0,0.0,3.944,4.13,5.326
B_SCLK,25.86,low_z_fast,45.0,15.0,0.0,5.0,0.8,4.026,0.0,22.0,0.747,0.503,1.42
B_SCLK,25.86,nominal,60.0,30.0,0.0,8.0,1.5,3.4706,0.0,5.17,1.442,1.134,1.66
B_SCLK,25.86,high_z_fast,85.0,15.0,0.0,8.0,0.8,4.6682,0.0,41.46,0.911,0.567,3.832
B_SCLK,25.86,high_c_slow,70.0,45.0,0.0,15.0,3.0,3.2977,0.0,0.0,3.028,2.624,3.566
B_SCLK,25.86,low_z_fast,45.0,15.0,22.0,5.0,0.8,3.3406,0.0,1.23,0.92,0.695,1.061
B_SCLK,25.86,nominal,60.0,30.0,22.0,8.0,1.5,3.2964,0.0,0.0,1.674,1.441,2.018
B_SCLK,25.86,high_z_fast,85.0,15.0,22.0,8.0,0.8,3.6866,0.0,11.71,1.049,0.735,1.904
B_SCLK,25.86,high_c_slow,70.0,45.0,22.0,15.0,3.0,3.2966,0.0,0.0,3.395,3.259,4.31
B_SCLK,25.86,low_z_fast,45.0,15.0,33.0,5.0,0.8,3.2941,0.0,0.0,1.001,0.866,1.249
B_SCLK,25.86,nominal,60.0,30.0,33.0,8.0,1.5,3.2957,0.0,0.0,1.789,1.673,2.274
B_SCLK,25.86,high_z_fast,85.0,15.0,33.0,8.0,0.8,3.4248,0.0,3.78,1.133,0.859,1.331
B_SCLK,25.86,high_c_slow,70.0,45.0,33.0,15.0,3.0,3.2961,0.0,0.0,3.609,3.622,4.726
B_SCLK,25.86,low_z_fast,45.0,15.0,47.0,5.0,0.8,3.2924,0.0,0.0,1.133,1.151,1.553
B_SCLK,25.86,nominal,60.0,30.0,47.0,8.0,1.5,3.2947,0.0,0.0,1.962,1.989,2.622
B_SCLK,25.86,high_z_fast,85.0,15.0,47.0,8.0,0.8,3.2981,0.0,0.0,1.262,1.105,1.593
B_SCLK,25.86,high_c_slow,70.0,45.0,47.0,15.0,3.0,3.2953,0.0,0.0,3.903,4.098,5.267
